"","name_resultsfile","region","phenometric","indep.variable","Reanalysis_sign","Reanalysis_p","Reanalysis_coef","Fric_SR_sign","Fric_SR_p","Fric_SR_coef","Fric_RR_sign","Fric_RR_p","Fric_RR_coef"
"51","Argynnis adippe","Europe","termination","latitude",0,0.160315451030842,-0.452773917960754,1,0.000146532589958354,1.30384348104988,0,0.361471007455606,0.320921940253977
"52","Argynnis adippe","Europe","termination","year",1,0.0108706606453902,0.177478601669581,0,0.847438682188852,-0.0356804221461811,0,0.735612941502066,-0.0508113921719721
"53","Argynnis aglaja","Europe","termination","latitude",-1,0.0185706670315466,-0.587803041912471,0,0.422619226353901,0.451206145764423,0,0.889892573804819,-0.0739592848306166
"54","Argynnis aglaja","Europe","termination","year",1,0.000214818711325412,0.221114637094163,0,0.198657177104319,0.322156718995206,0,0.186590016601293,0.327291714140795
"55","Argynnis niobe","Europe","termination","latitude",0,0.538736970424985,1.24573380051813,1,1.85150128346026e-05,1.43608653905085,1,0.00291305751115317,1.10351603951282
"56","Argynnis niobe","Europe","termination","year",0,0.600800715748973,0.0944404863158754,0,0.485853824466313,-0.0969015549092553,0,0.81899066071218,-0.0241720678144919
"57","Argynnis paphia","Europe","termination","latitude",-1,0.0207194753494824,-0.649872461237941,1,0.000325341142237563,1.81241198705438,0,0.159783631455824,0.722856476171985
"58","Argynnis paphia","Europe","termination","year",1,9.84051204245515e-08,0.310345847048971,1,0.0265354055128998,0.759753400159998,0,0.451529645591341,0.232338014873601
"59","Aricia artaxerxes","Europe","termination","latitude",0,0.255172045735013,-2.30347506440519,0,0.0555626441063509,0.817053732366041,0,0.0610518320738595,0.80522783479293
"60","Aricia artaxerxes","Europe","termination","year",0,0.457607185831635,0.220737836686342,0,0.875819938235657,-0.0281282430663138,0,0.611297256695415,0.0847921658324583
"61","Boloria aquilonaris","Europe","termination","latitude",1,0.00198585902285963,1.33344514659361,1,0.000620668924799753,1.48964710118833,1,0.00321125817895364,1.32984430274605
"62","Boloria aquilonaris","Europe","termination","year",0,0.431487694636933,0.0686293454714876,0,0.98015669836345,0.00434583714547583,0,0.178056333954971,-0.178936635103207
"63","Boloria eunomia","Europe","termination","latitude",0,0.0944633447476399,2.15658699409908,1,0.000371271236570642,0.97192349332371,0,0.11566754062126,0.471598349060146
"64","Boloria eunomia","Europe","termination","year",-1,0.0428262771750226,-0.693020206234721,0,0.487199666356071,-0.056122729019156,0,0.543709139745544,-0.0356776069588719
"65","Brenthis ino","Europe","termination","latitude",1,0.00589309713219618,1.19861404553482,1,6.44220308922588e-07,1.11975280514894,1,0.0089534643329433,0.668203248329705
"66","Brenthis ino","Europe","termination","year",0,0.0633020016049769,0.156321133226204,0,0.122351208374662,0.184330730749452,0,0.994088327702575,0.000675355755620342
"67","Carterocephalus palaemon","Europe","termination","latitude",0,0.636029037501533,1.71317131713165,1,2.0104364122591e-05,1.63991849157832,1,0.000130869561082158,1.43910965325514
"68","Carterocephalus palaemon","Europe","termination","year",0,0.214333058404555,3.15057220007717,0,0.106561616610178,0.181727158250559,0,0.710078957418685,0.0331505159283174
"69","Coenonympha tullia","Europe","termination","latitude",-1,0.0088584802540425,-2.39979836821876,0,0.47622945255153,-0.724116254991867,0,0.218253117933415,-1.17493992589233
"70","Coenonympha tullia","Europe","termination","year",0,0.151214297795337,0.210403702225659,0,0.174549840063374,0.351963400686241,0,0.0762653242004135,0.443128983837906
"71","Colias palaeno","Europe","termination","latitude",1,0.00888732680065231,1.63889595717856,1,0.0107746385781377,0.987505070993914,1,0.0255536155138987,0.883377997318913
"72","Colias palaeno","Europe","termination","year",0,0.250140175967009,0.183449490219842,0,0.666566211341704,0.0557396361222632,0,0.513878408749513,-0.0751891396366392
"73","Erebia ligea","Europe","termination","latitude",-1,0.0373787315351391,-1.45053103641623,1,0.0141762862353746,0.777701337861178,0,0.198381138787761,0.419464659263392
"74","Erebia ligea","Europe","termination","year",0,0.620223048869004,-0.0815928002400821,0,0.350758204810143,0.129747828070644,0,0.446486770258075,0.0962298510427434
"75","Euphydryas maturna","Europe","termination","latitude",0,0.0919617757723097,-7.2314548324204,1,0.000545288682069607,4.10620099786173,1,0.000389687972967434,3.6602861630259
"76","Euphydryas maturna","Europe","termination","year",0,0.150099747569325,0.545771051898627,0,0.167072720734198,0.628671377112769,0,0.294183248600683,0.315358797510064
"77","Glaucopsyche alexis","Europe","termination","latitude",0,0.690952145256485,1.394049925909,1,0.0177887919617584,0.932530724855779,1,0.0201461204415534,0.895489317456444
"78","Glaucopsyche alexis","Europe","termination","year",0,0.520523250903423,0.371765644591349,0,0.349085403381262,0.257914940903133,0,0.457415269862741,0.18317306019795
